ID,SLOPE,ELEVATION,FLOWACC,DIST_TO_STREAM,LANDSLIDE
0,50.7482605,593,2,337.0371169,UNKNOWN
1,31.51286316,786,1,737.7860089,UNKNOWN
2,28.49664879,622,0,537.3586223,UNKNOWN
3,35.00872421,526,0,227.3014601,UNKNOWN
4,44.97073364,1774,1,1896.373194,UNKNOWN
5,29.11013412,1698,7,957.5928459,UNKNOWN
6,21.76945114,1784,10,1049.578227,UNKNOWN
7,24.43613243,2023,12,1527.828021,UNKNOWN
8,10.98379993,1738,0,628.1258542,UNKNOWN
9,32.33739853,1535,0,2174.467561,UNKNOWN
10,27.71979332,1405,4,1176.7325,UNKNOWN
11,28.50988007,1031,1,312.2576715,UNKNOWN
12,15.23953819,1146,13,556.0317882,UNKNOWN
13,26.26521492,1375,0,1697.877934,UNKNOWN
14,9.921896935,1849,1,1745.306841,UNKNOWN
15,16.41392708,946,4,142.690513,UNKNOWN
16,40.71990585,1091,5,628.212611,UNKNOWN
17,3.538903952,1415,0,419.9553216,UNKNOWN
18,29.39113617,1498,1,1017.896408,UNKNOWN
19,21.81848526,1032,3,766.4794293,UNKNOWN
20,31.15989494,914,4,720.3020967,UNKNOWN
136,45.53482819,1145,3,775.8019061,UNKNOWN
137,33.35980988,652,58,169.3888408,UNKNOWN
138,5.82059288,1220,32,184.31967,UNKNOWN
139,21.21490669,1182,0,417.087043,UNKNOWN
140,36.68407822,792,6,109.0545003,UNKNOWN
141,24.88793564,1082,15,387.4906649,UNKNOWN
142,33.48963165,1236,2,520.0361779,UNKNOWN
143,37.16317368,901,1,668.8533402,UNKNOWN
144,15.14025497,1403,26,510.3904226,UNKNOWN
145,34.13733292,1260,0,42.23559994,UNKNOWN
21,19.21874428,678,2,13.86150651,1
22,41.03600693,845,2,170.0332992,1
23,27.67811775,811,0,457.5437529,1
24,17.31328201,804,1,609.7383952,1
25,25.11189461,644,16,14.89161127,1
26,33.64644623,1006,2,512.3927153,1
27,24.86591911,686,144,419.1241518,1
28,25.72926521,679,2,28.93746329,1
29,24.29027939,571,234,11.68837682,1
30,3.795880079,302,3,890.0327555,1
31,3.917983532,348,0,1870.022548,1
32,8.438732147,333,80,1738.014976,1
33,32.20280838,483,18,1326.443846,1
34,42.34412003,682,5,771.7823643,1
35,7.814464569,287,668676,240.1645134,1
36,26.31902885,514,13,423.9296641,1
37,27.83959961,991,7,1605.032647,1
38,26.56564522,878,16,244.4790467,1
39,9.654242516,919,3356,553.1187058,1
40,31.47606087,1322,1,929.6272615,1
41,49.72388458,1919,42,340.0798151,1
42,35.70347977,1795,0,148.8274297,1
43,43.7309227,1681,6,446.9682058,1
44,47.07777023,1399,1,130.4671165,1
45,18.14627075,1098,1,149.7147352,1
46,49.16526794,943,0,560.1451957,1
47,19.5662365,1487,2,171.7655331,1
48,28.20585823,453,1,240.407281,1
49,30.3347187,803,0,160.4369731,1
50,26.75637245,1484,2,313.9641204,1
51,21.29339027,1073,2,403.9192917,1
52,33.69802475,898,29,713.1647538,1
53,22.62291527,1004,15,114.5358001,1
54,18.07489204,803,10,630.6191092,1
55,29.88521385,906,10,143.7586415,1
56,19.58687973,996,6,195.283478,1
57,30.03596306,1460,0,419.5995681,1
58,36.94694519,1410,4,129.3715488,1
59,14.87042236,1122,0,1374.270357,1
60,24.99757195,1050,1,77.4770445,1
61,17.22839546,988,0,144.9355134,1
62,26.69905853,1393,2,393.1951892,1
63,26.1163044,1140,1,1190.829332,1
64,23.46043396,908,0,945.717146,1
65,20.49948502,842,1,1176.881767,1
66,15.4601469,726,2,294.4273972,1
67,15.18644714,863,0,179.2718485,1
68,36.83064651,562,0,238.8913231,1
69,23.77989388,1053,12,638.6298662,1
70,23.2282505,794,25,690.7386117,1
71,31.43794823,1221,12,60.25028781,1
72,33.9355545,1639,1,318.9664872,1
73,31.53979874,1669,12,829.70629,1
74,36.62776184,1567,0,583.8271705,1
75,21.55591011,1350,36,270.7802376,1
76,40.38304138,893,2,281.2141206,1
77,18.10348701,894,1,28.30695976,1
78,30.24896431,1006,36,1250.985697,1
79,18.90338326,797,29,1900.5184,1
80,30.83117485,1029,4,621.860261,1
81,17.44862366,655,2,1516.643056,1
82,17.73009682,854,6,773.9717913,1
83,26.64319038,1284,0,1744.297592,1
84,24.77570534,1263,0,643.4436205,1
85,51.88856506,1474,8,179.5508416,1
86,44.43575668,1282,1,396.5215477,1
87,19.39221191,1142,0,984.3153466,1
88,33.39919281,1934,0,48.35935175,1
89,40.87297058,2112,8,117.5613213,1
90,15.4913559,1332,2,645.3909527,1
91,19.60749435,2155,1,223.420105,1
92,15.93062496,1510,1192,1117.352108,1
93,25.44478798,2017,14,380.5432654,1
94,36.02184677,1819,29,507.8295565,1
95,21.1336956,1510,13,85.33993435,1
96,23.7090168,1295,252,533.7067065,1
97,33.1437149,1519,34,1960.256829,1
98,29.71122742,1054,11,1100.470719,1
99,21.14997101,1048,362,617.0108083,1
100,31.58134079,1443,2,256.2322195,1
101,27.33454895,1045,3,278.0952485,1
102,26.39942169,1322,182,81.68446934,1
103,48.98374557,1768,5,29.72765439,1
104,22.59753418,1688,0,524.170991,1
105,42.80895615,1263,11,334.9310301,1
106,29.5008297,1569,0,587.7107898,1
107,35.95381927,2618,7,7.54592801,1
108,37.26245499,1768,2,995.5472886,1
109,38.58690262,1912,5,989.7506705,1
110,20.46548653,1984,745,146.270728,1
111,23.99259949,2072,17,683.1075084,1
112,10.88580227,1751,6,1012.056625,1
113,30.74411201,1419,4,216.2525005,1
114,34.27669144,1867,4,490.0124313,1
115,47.55101395,1938,1,1500.669423,1
116,35.32733917,2229,0,1534.448839,1
117,39.1122818,2195,4512,24.02365022,1
118,42.21467972,1920,138,1258.376145,1
119,22.45933151,1848,57,1344.166958,1
120,19.20816612,1834,20,552.7799327,1
121,32.9920845,2176,0,1028.154504,1
122,45.09192657,2592,16,970.6191837,1
123,34.41179276,2626,31,1510.917802,1
124,31.67746162,2617,3,138.6612805,1
125,16.43006134,2093,10,1521.177377,1
126,25.79354668,2020,6,913.3024734,1
127,46.77624893,1372,7,32.27715338,1
128,31.30571175,1621,1,49.92295497,1
129,47.29011917,1964,2,90.00344538,1
130,29.78757095,1517,441,881.983573,1
131,20.6034317,1732,1,941.8025748,1
132,39.87843704,1895,0,1294.426306,1
133,21.41036415,1537,2,577.3995403,1
134,31.24978065,1102,1,1250.712619,1
135,26.91903114,1599,13,1533.18208,1
146,12.42808247,1838,56,1131.301089,0
147,29.13703537,1247,1,1056.949633,0
148,33.88471603,1767,2,950.3263662,0
149,17.05703735,1623,2,1027.211188,0
150,26.00714493,2215,0,1556.579223,0
151,16.40423775,1572,2,901.641994,0
152,37.90674973,2276,29,1905.700164,0
153,18.70480347,2690,0,1776.070564,0
154,31.8067646,2659,10,795.2985928,0
155,29.55609512,2805,85,977.2001313,0
156,40.40206909,2705,1,1264.654699,0
157,19.41309929,2893,2,1270.48399,0
158,8.438732147,2153,0,1175.826505,0
159,31.54958344,1675,209,1023.82411,0
160,37.46428299,2043,0,781.5790022,0
161,28.66345596,2329,14,1065.862908,0
162,15.93062496,1945,0,651.020997,0
163,24.23691368,1537,12,1010.184072,0
164,18.46172714,1305,0,819.9227093,0
165,33.89955902,1830,1,1046.264712,0
166,17.45460892,2326,1,1808.087758,0
167,26.97074318,1855,0,1538.707078,0
168,14.760849,1378,1,1438.295032,0
169,20.92521667,1692,2,1015.052717,0
170,16.79590988,1798,654,1444.03636,0
171,14.74983883,2469,0,2464.257261,0
172,26.78903389,2132,2,1796.531833,0
173,15.16514778,1452,0,1010.252152,0
174,13.15541172,1672,196,1162.935366,0
175,32.4916954,1604,23,1481.727857,0
176,13.25561905,1289,4,1360.127084,0
177,40.9933815,1259,3,1148.34756,0
178,18.69110107,1130,0,1037.967415,0
179,15.02583027,1522,4,1857.987815,0
180,15.66679573,1566,11,1077.027127,0
181,17.11541557,1391,0,938.0722052,0
182,45.92806244,1603,0,1606.989528,0
183,35.10349274,2145,0,2900.500674,0
184,14.85222626,1092,0,1143.18897,0
185,30.74026108,1130,6,1074.278383,0