ID,SLOPE,ELEVATION,FLOWACC,LANDSLIDE
0,50.7482605,593,2,-1
1,31.51286316,786,1,-1
2,28.49664879,622,0,-1
3,35.00872421,526,0,-1
4,44.97073364,1774,1,-1
5,29.11013412,1698,7,-1
6,21.76945114,1784,10,-1
7,24.43613243,2023,12,-1
8,10.98379993,1738,0,-1
9,32.33739853,1535,0,-1
10,27.71979332,1405,4,-1
11,28.50988007,1031,1,-1
12,15.23953819,1146,13,-1
13,26.26521492,1375,0,-1
14,9.921896935,1849,1,-1
15,16.41392708,946,4,-1
16,40.71990585,1091,5,-1
17,3.538903952,1415,0,-1
18,29.39113617,1498,1,-1
19,21.81848526,1032,3,-1
20,31.15989494,914,4,-1
136,45.53482819,1145,3,-1
137,33.35980988,652,58,-1
138,5.82059288,1220,32,-1
139,21.21490669,1182,0,-1
140,36.68407822,792,6,-1
141,24.88793564,1082,15,-1
142,33.48963165,1236,2,-1
143,37.16317368,901,1,-1
144,15.14025497,1403,26,-1
145,34.13733292,1260,0,-1
21,19.21874428,678,2,1
22,41.03600693,845,2,1
23,27.67811775,811,0,1
24,17.31328201,804,1,1
25,25.11189461,644,16,1
26,33.64644623,1006,2,1
27,24.86591911,686,144,1
28,25.72926521,679,2,1
29,24.29027939,571,234,1
30,3.795880079,302,3,1
31,3.917983532,348,0,1
32,8.438732147,333,80,1
33,32.20280838,483,18,1
34,42.34412003,682,5,1
35,7.814464569,287,668676,1
36,26.31902885,514,13,1
37,27.83959961,991,7,1
38,26.56564522,878,16,1
39,9.654242516,919,3356,1
40,31.47606087,1322,1,1
41,49.72388458,1919,42,1
42,35.70347977,1795,0,1
43,43.7309227,1681,6,1
44,47.07777023,1399,1,1
45,18.14627075,1098,1,1
46,49.16526794,943,0,1
47,19.5662365,1487,2,1
48,28.20585823,453,1,1
49,30.3347187,803,0,1
50,26.75637245,1484,2,1
51,21.29339027,1073,2,1
52,33.69802475,898,29,1
53,22.62291527,1004,15,1
54,18.07489204,803,10,1
55,29.88521385,906,10,1
56,19.58687973,996,6,1
57,30.03596306,1460,0,1
58,36.94694519,1410,4,1
59,14.87042236,1122,0,1
60,24.99757195,1050,1,1
61,17.22839546,988,0,1
62,26.69905853,1393,2,1
63,26.1163044,1140,1,1
64,23.46043396,908,0,1
65,20.49948502,842,1,1
66,15.4601469,726,2,1
67,15.18644714,863,0,1
68,36.83064651,562,0,1
69,23.77989388,1053,12,1
70,23.2282505,794,25,1
71,31.43794823,1221,12,1
72,33.9355545,1639,1,1
73,31.53979874,1669,12,1
74,36.62776184,1567,0,1
75,21.55591011,1350,36,1
76,40.38304138,893,2,1
77,18.10348701,894,1,1
78,30.24896431,1006,36,1
79,18.90338326,797,29,1
80,30.83117485,1029,4,1
81,17.44862366,655,2,1
82,17.73009682,854,6,1
83,26.64319038,1284,0,1
84,24.77570534,1263,0,1
85,51.88856506,1474,8,1
86,44.43575668,1282,1,1
87,19.39221191,1142,0,1
88,33.39919281,1934,0,1
89,40.87297058,2112,8,1
90,15.4913559,1332,2,1
91,19.60749435,2155,1,1
92,15.93062496,1510,1192,1
93,25.44478798,2017,14,1
94,36.02184677,1819,29,1
95,21.1336956,1510,13,1
96,23.7090168,1295,252,1
97,33.1437149,1519,34,1
98,29.71122742,1054,11,1
99,21.14997101,1048,362,1
100,31.58134079,1443,2,1
101,27.33454895,1045,3,1
102,26.39942169,1322,182,1
103,48.98374557,1768,5,1
104,22.59753418,1688,0,1
105,42.80895615,1263,11,1
106,29.5008297,1569,0,1
107,35.95381927,2618,7,1
108,37.26245499,1768,2,1
109,38.58690262,1912,5,1
110,20.46548653,1984,745,1
111,23.99259949,2072,17,1
112,10.88580227,1751,6,1
113,30.74411201,1419,4,1
114,34.27669144,1867,4,1
115,47.55101395,1938,1,1
116,35.32733917,2229,0,1
117,39.1122818,2195,4512,1
118,42.21467972,1920,138,1
119,22.45933151,1848,57,1
120,19.20816612,1834,20,1
121,32.9920845,2176,0,1
122,45.09192657,2592,16,1
123,34.41179276,2626,31,1
124,31.67746162,2617,3,1
125,16.43006134,2093,10,1
126,25.79354668,2020,6,1
127,46.77624893,1372,7,1
128,31.30571175,1621,1,1
129,47.29011917,1964,2,1
130,29.78757095,1517,441,1
131,20.6034317,1732,1,1
132,39.87843704,1895,0,1
133,21.41036415,1537,2,1
134,31.24978065,1102,1,1
135,26.91903114,1599,13,1
146,12.42808247,1838,56,0
147,29.13703537,1247,1,0
148,33.88471603,1767,2,0
149,17.05703735,1623,2,0
150,26.00714493,2215,0,0
151,16.40423775,1572,2,0
152,37.90674973,2276,29,0
153,18.70480347,2690,0,0
154,31.8067646,2659,10,0
155,29.55609512,2805,85,0
156,40.40206909,2705,1,0
157,19.41309929,2893,2,0
158,8.438732147,2153,0,0
159,31.54958344,1675,209,0
160,37.46428299,2043,0,0
161,28.66345596,2329,14,0
162,15.93062496,1945,0,0
163,24.23691368,1537,12,0
164,18.46172714,1305,0,0
165,33.89955902,1830,1,0
166,17.45460892,2326,1,0
167,26.97074318,1855,0,0
168,14.760849,1378,1,0
169,20.92521667,1692,2,0
170,16.79590988,1798,654,0
171,14.74983883,2469,0,0
172,26.78903389,2132,2,0
173,15.16514778,1452,0,0
174,13.15541172,1672,196,0
175,32.4916954,1604,23,0
176,13.25561905,1289,4,0
177,40.9933815,1259,3,0
178,18.69110107,1130,0,0
179,15.02583027,1522,4,0
180,15.66679573,1566,11,0
181,17.11541557,1391,0,0
182,45.92806244,1603,0,0
183,35.10349274,2145,0,0
184,14.85222626,1092,0,0
185,30.74026108,1130,6,0