ID,SLOPE,ELEVATION,LANDSLIDE
0,50.7482605,593,-1
1,31.51286316,786,-1
2,28.49664879,622,-1
3,35.00872421,526,-1
4,44.97073364,1774,-1
5,29.11013412,1698,-1
6,21.76945114,1784,-1
7,24.43613243,2023,-1
8,10.98379993,1738,-1
9,32.33739853,1535,-1
10,27.71979332,1405,-1
11,28.50988007,1031,-1
12,15.23953819,1146,-1
13,26.26521492,1375,-1
14,9.921896935,1849,-1
15,16.41392708,946,-1
16,40.71990585,1091,-1
17,3.538903952,1415,-1
18,29.39113617,1498,-1
19,21.81848526,1032,-1
20,31.15989494,914,-1
21,19.21874428,678,1
22,41.03600693,845,1
23,27.67811775,811,1
24,17.31328201,804,1
25,25.11189461,644,1
26,33.64644623,1006,1
27,24.86591911,686,1
28,25.72926521,679,1
29,24.29027939,571,1
30,3.795880079,302,1
31,3.917983532,348,1
32,8.438732147,333,1
33,32.20280838,483,1
34,42.34412003,682,1
35,7.814464569,287,1
36,26.31902885,514,1
37,27.83959961,991,1
38,26.56564522,878,1
39,9.654242516,919,1
40,31.47606087,1322,1
41,49.72388458,1919,1
42,35.70347977,1795,1
43,43.7309227,1681,1
44,47.07777023,1399,1
45,18.14627075,1098,1
46,49.16526794,943,1
47,19.5662365,1487,1
48,28.20585823,453,1
49,30.3347187,803,1
50,26.75637245,1484,1
51,21.29339027,1073,1
52,33.69802475,898,1
53,22.62291527,1004,1
54,18.07489204,803,1
55,29.88521385,906,1
56,19.58687973,996,1
57,30.03596306,1460,1
58,36.94694519,1410,1
59,14.87042236,1122,1
60,24.99757195,1050,1
61,17.22839546,988,1
62,26.69905853,1393,1
63,26.1163044,1140,1
64,23.46043396,908,1
65,20.49948502,842,1
66,15.4601469,726,1
67,15.18644714,863,1
68,36.83064651,562,1
69,23.77989388,1053,1
70,23.2282505,794,1
71,31.43794823,1221,1
72,33.9355545,1639,1
73,31.53979874,1669,1
74,36.62776184,1567,1
75,21.55591011,1350,1
76,40.38304138,893,1
77,18.10348701,894,1
78,30.24896431,1006,1
79,18.90338326,797,1
80,30.83117485,1029,1
81,17.44862366,655,1
82,17.73009682,854,1
83,26.64319038,1284,1
84,24.77570534,1263,1
85,51.88856506,1474,1
86,44.43575668,1282,1
87,19.39221191,1142,1
88,33.39919281,1934,1
89,40.87297058,2112,1
90,15.4913559,1332,1
91,19.60749435,2155,1
92,15.93062496,1510,1
93,25.44478798,2017,1
94,36.02184677,1819,1
95,21.1336956,1510,1
96,23.7090168,1295,1
97,33.1437149,1519,1
98,29.71122742,1054,1
99,21.14997101,1048,1
100,31.58134079,1443,1
101,27.33454895,1045,1
102,26.39942169,1322,1
103,48.98374557,1768,1
104,22.59753418,1688,1
105,42.80895615,1263,1
106,29.5008297,1569,1
107,35.95381927,2618,1
108,37.26245499,1768,1
109,38.58690262,1912,1
110,20.46548653,1984,1
111,23.99259949,2072,1
112,10.88580227,1751,1
113,30.74411201,1419,1
114,34.27669144,1867,1
115,47.55101395,1938,1
116,35.32733917,2229,1
117,39.1122818,2195,1
118,42.21467972,1920,1
119,22.45933151,1848,1
120,19.20816612,1834,1
121,32.9920845,2176,1
122,45.09192657,2592,1
123,34.41179276,2626,1
124,31.67746162,2617,1
125,16.43006134,2093,1
126,25.79354668,2020,1
127,46.77624893,1372,1
128,31.30571175,1621,1
129,47.29011917,1964,1
130,29.78757095,1517,1
131,20.6034317,1732,1
132,39.87843704,1895,1
133,21.41036415,1537,1
134,31.24978065,1102,1
135,26.91903114,1599,1
136,45.53482819,1145,0
137,33.35980988,652,0
138,5.82059288,1220,0
139,21.21490669,1182,0
140,36.68407822,792,0
141,24.88793564,1082,0
142,33.48963165,1236,0
143,37.16317368,901,0
144,15.14025497,1403,0
145,34.13733292,1260,0
146,12.42808247,1838,0
147,29.13703537,1247,0
148,33.88471603,1767,0
149,17.05703735,1623,0
150,26.00714493,2215,0
151,16.40423775,1572,0
152,37.90674973,2276,0
153,18.70480347,2690,0
154,31.8067646,2659,0
155,29.55609512,2805,0
156,40.40206909,2705,0
157,19.41309929,2893,0
158,8.438732147,2153,0
159,31.54958344,1675,0
160,37.46428299,2043,0
161,28.66345596,2329,0
162,15.93062496,1945,0
163,24.23691368,1537,0
164,18.46172714,1305,0
165,33.89955902,1830,0
166,17.45460892,2326,0
167,26.97074318,1855,0
168,14.760849,1378,0
169,20.92521667,1692,0
170,16.79590988,1798,0
171,14.74983883,2469,0
172,26.78903389,2132,0
173,15.16514778,1452,0
174,13.15541172,1672,0
175,32.4916954,1604,0
176,13.25561905,1289,0
177,40.9933815,1259,0
178,18.69110107,1130,0
179,15.02583027,1522,0
180,15.66679573,1566,0
181,17.11541557,1391,0
182,45.92806244,1603,0
183,35.10349274,2145,0
184,14.85222626,1092,0
185,30.74026108,1130,0